NAME,STATE_NAME,STATE_ABBR,STATE_FIPS,COUNTY_FIPS,FIPS,POPULATION,POP_SQMI,SQMI,Homicide_Prev,Hospital,Transit,sum_Area_SquareKilometers,Polygon_Count,AnalysisArea,Homicide
Upton County,Texas,TX,48,461,48461,3308,2.7,1241.5,0.000428,0.00000087,0.00205354,3164.470501,1,3164.470505,-0.000428
Uvalde County,Texas,TX,48,463,48463,24564,15.8,1558.64,0.00053601,0.00000109,0.00208685,4043.684785,1,4043.684789,-0.00053601
Val Verde County,Texas,TX,48,465,48465,47586,14.7,3232.68,0.00112398,0.00000228,0.00328667,8435.514403,1,8447.056379,-0.00112398
Van Zandt County,Texas,TX,48,467,48467,59541,69.3,859.62,0.00030837,0.00000063,0.00158637,2250.918089,1,2250.918092,-0.00030837
Victoria County,Texas,TX,48,469,48469,91319,102.8,887.98,0.00031124,0.00000063,0.00200969,2360.618208,1,2360.618206,-0.00031124
Walker County,Texas,TX,48,471,48471,76400,95.3,801.5,0.00027301,0.00017167,0.00200533,2031.502278,1,2031.502278,-0.00027301
Waller County,Texas,TX,48,473,48473,56794,109.7,517.86,0.00700439,0.00194784,0.00200454,1332.884749,3,1332.884749,-0.00700439
Ward County,Texas,TX,48,475,48475,11644,13.9,835.85,0.00029142,0.00000059,0.00199871,2151.446934,1,2151.446934,-0.00029142
Washington County,Texas,TX,48,477,48477,35805,57.6,621.75,0.00022209,0.00000045,0.00189897,1661.45474,1,1661.454741,-0.00022209
Webb County,Texas,TX,48,479,48479,267114,79.1,3375.6,0.00114522,0.00000232,0.00206348,8768.944738,1,8776.838948,-0.00114522
Wharton County,Texas,TX,48,481,48481,41570,38,1094.37,0.00037605,0.00001726,0.00209548,2839.147052,1,2839.147052,-0.00037605
Wheeler County,Texas,TX,48,483,48483,4990,5.5,915.48,0.00034092,0.00000069,0.00204821,2408.38872,1,2408.952855,-0.00034092
Wichita County,Texas,TX,48,485,48485,129350,204.4,632.86,0.00022417,0.00000046,0.00207136,1610.546486,1,1612.947408,-0.00022417
Wilbarger County,Texas,TX,48,487,48487,12887,13.2,977.97,0.00035181,0.00000072,0.00328994,2524.784745,1,2531.3166,-0.00035181
Willacy County,Texas,TX,48,489,48489,20164,33.5,602.44,0.19697503,0.00530199,0.0020771,1486.676604,5,1492.289984,-0.19697503
Williamson County,Texas,TX,48,491,48491,609017,538.1,1131.88,0.00039656,0.00421686,0.00211023,2953.652539,1,2953.652536,-0.00039656
Wilson County,Texas,TX,48,493,48493,49753,61.5,808.41,0.01329961,0.00075254,0.00209975,2151.38793,2,2151.387932,-0.01329961
Winkler County,Texas,TX,48,495,48495,7791,9.3,841.28,0.00029896,0.00000061,0.00337843,2199.205482,1,2199.205485,-0.00029896
Wise County,Texas,TX,48,497,48497,68632,74.4,922.56,0.00033153,0.00181966,0.00206278,2402.692373,1,2402.69237,-0.00033153
Wood County,Texas,TX,48,499,48499,44843,64.5,695.72,0.00024957,0.00000407,0.00212484,1817.331912,1,1817.33191,-0.00024957
Yoakum County,Texas,TX,48,501,48501,7694,9.6,799.72,0.00027797,0.00000056,0.00207209,2015.685155,1,2015.771314,-0.00027797
Young County,Texas,TX,48,503,48503,17867,19.2,930.86,0.00033906,0.00000069,0.00208545,2458.408115,1,2458.408118,-0.00033906
Zapata County,Texas,TX,48,505,48505,13889,13.1,1058.02,0.00035525,0.00000072,0.00198491,2738.550302,1,2740.123247,-0.00035525
Zavala County,Texas,TX,48,507,48507,9670,7.4,1301.73,0.00045356,0.00000092,0.00257472,3437.886483,1,3437.886483,-0.00045356
